SCHOOL_YEAR,DATA_LEVEL,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_NAME,SCHOOL_NUMBER,SCHOOL_NAME,SURVEY_TOPIC,QUESTION_LABEL_LONG_DESCR,SURVEY_QUESTION,GRADE_GROUP_DESCRIPTION,NON_EXCLUDED_RESPONSES,MANY_OR_ALL_RESPONSES,MANY_OR_ALL_PCT
2010/2011,DISTRICT LEVEL,BC Public School,8,Kootenay Lake,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,55,42,76
2010/2011,DISTRICT LEVEL,BC Public School,8,Kootenay Lake,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,54,39,72
2010/2011,DISTRICT LEVEL,BC Public School,8,Kootenay Lake,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,54,40,74
2010/2011,DISTRICT LEVEL,BC Public School,8,Kootenay Lake,,,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Secondary Parents,54,30,56
2010/2011,DISTRICT LEVEL,BC Public School,10,Arrow Lakes,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,19,8,42
2010/2011,DISTRICT LEVEL,BC Public School,10,Arrow Lakes,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,19,8,42
2010/2011,DISTRICT LEVEL,BC Public School,10,Arrow Lakes,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,19,14,74
2010/2011,DISTRICT LEVEL,BC Public School,10,Arrow Lakes,,,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Secondary Parents,18,12,67
2010/2011,DISTRICT LEVEL,BC Public School,19,Revelstoke,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,Msk,Msk,Msk
2010/2011,DISTRICT LEVEL,BC Public School,19,Revelstoke,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,Msk,Msk,Msk
2010/2011,DISTRICT LEVEL,BC Public School,19,Revelstoke,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,Msk,Msk,Msk
2010/2011,DISTRICT LEVEL,BC Public School,19,Revelstoke,,,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Secondary Parents,Msk,Msk,Msk
2010/2011,DISTRICT LEVEL,BC Public School,20,Kootenay-Columbia,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,28,19,68
2010/2011,DISTRICT LEVEL,BC Public School,20,Kootenay-Columbia,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,27,17,63
2010/2011,DISTRICT LEVEL,BC Public School,20,Kootenay-Columbia,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,26,20,77
2010/2011,DISTRICT LEVEL,BC Public School,20,Kootenay-Columbia,,,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Secondary Parents,28,17,61
2010/2011,DISTRICT LEVEL,BC Public School,22,Vernon,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,46,36,78
2010/2011,DISTRICT LEVEL,BC Public School,22,Vernon,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,45,34,76
2010/2011,DISTRICT LEVEL,BC Public School,22,Vernon,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,45,29,64
2010/2011,DISTRICT LEVEL,BC Public School,22,Vernon,,,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Secondary Parents,45,28,62
2010/2011,DISTRICT LEVEL,BC Public School,23,Central Okanagan,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,203,159,78
2010/2011,DISTRICT LEVEL,BC Public School,23,Central Okanagan,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,205,125,61
2010/2011,DISTRICT LEVEL,BC Public School,23,Central Okanagan,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,204,164,80
2010/2011,DISTRICT LEVEL,BC Public School,23,Central Okanagan,,,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Secondary Parents,203,131,65
2010/2011,DISTRICT LEVEL,BC Public School,27,Cariboo-Chilcotin,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,24,15,63
2010/2011,DISTRICT LEVEL,BC Public School,27,Cariboo-Chilcotin,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,23,11,48
2010/2011,DISTRICT LEVEL,BC Public School,27,Cariboo-Chilcotin,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,23,15,65
2010/2011,DISTRICT LEVEL,BC Public School,27,Cariboo-Chilcotin,,,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Secondary Parents,24,10,42
2010/2011,DISTRICT LEVEL,BC Public School,28,Quesnel,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,47,35,74
2010/2011,DISTRICT LEVEL,BC Public School,28,Quesnel,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,47,33,70
2010/2011,DISTRICT LEVEL,BC Public School,28,Quesnel,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,47,36,77
2010/2011,DISTRICT LEVEL,BC Public School,28,Quesnel,,,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Secondary Parents,47,30,64
2010/2011,DISTRICT LEVEL,BC Public School,33,Chilliwack,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,79,64,81
2010/2011,DISTRICT LEVEL,BC Public School,33,Chilliwack,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,78,48,62
2010/2011,DISTRICT LEVEL,BC Public School,33,Chilliwack,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,77,54,70
2010/2011,DISTRICT LEVEL,BC Public School,33,Chilliwack,,,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Secondary Parents,77,49,64
2010/2011,DISTRICT LEVEL,BC Public School,34,Abbotsford,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,136,102,75
2010/2011,DISTRICT LEVEL,BC Public School,34,Abbotsford,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,133,87,65
2010/2011,DISTRICT LEVEL,BC Public School,34,Abbotsford,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,134,102,76
2010/2011,DISTRICT LEVEL,BC Public School,34,Abbotsford,,,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Secondary Parents,131,91,69
2010/2011,DISTRICT LEVEL,BC Public School,35,Langley,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,114,80,70
2010/2011,DISTRICT LEVEL,BC Public School,35,Langley,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,112,64,57
2010/2011,DISTRICT LEVEL,BC Public School,35,Langley,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,111,70,63
2010/2011,DISTRICT LEVEL,BC Public School,35,Langley,,,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Secondary Parents,113,64,57
2010/2011,DISTRICT LEVEL,BC Public School,36,Surrey,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,355,255,72
2010/2011,DISTRICT LEVEL,BC Public School,36,Surrey,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,349,202,58
2010/2011,DISTRICT LEVEL,BC Public School,36,Surrey,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,352,249,71
2010/2011,DISTRICT LEVEL,BC Public School,36,Surrey,,,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Secondary Parents,349,205,59
2010/2011,DISTRICT LEVEL,BC Public School,37,Delta,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,105,68,65
2010/2011,DISTRICT LEVEL,BC Public School,37,Delta,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,102,65,64
2010/2011,DISTRICT LEVEL,BC Public School,37,Delta,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,102,69,68
2010/2011,DISTRICT LEVEL,BC Public School,37,Delta,,,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Secondary Parents,102,64,63
2010/2011,DISTRICT LEVEL,BC Public School,38,Richmond,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,376,260,69
2010/2011,DISTRICT LEVEL,BC Public School,38,Richmond,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,369,187,51
2010/2011,DISTRICT LEVEL,BC Public School,38,Richmond,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,371,237,64
2010/2011,DISTRICT LEVEL,BC Public School,38,Richmond,,,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Secondary Parents,373,193,52
2010/2011,DISTRICT LEVEL,BC Public School,39,Vancouver,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,282,182,65
2010/2011,DISTRICT LEVEL,BC Public School,39,Vancouver,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,274,145,53
2010/2011,DISTRICT LEVEL,BC Public School,39,Vancouver,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,277,180,65
2010/2011,DISTRICT LEVEL,BC Public School,39,Vancouver,,,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Secondary Parents,272,154,57
2010/2011,DISTRICT LEVEL,BC Public School,40,New Westminster,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,Msk,Msk,Msk
2010/2011,DISTRICT LEVEL,BC Public School,40,New Westminster,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,Msk,Msk,Msk
2010/2011,DISTRICT LEVEL,BC Public School,40,New Westminster,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,Msk,Msk,Msk
2010/2011,DISTRICT LEVEL,BC Public School,40,New Westminster,,,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Secondary Parents,Msk,Msk,Msk
2010/2011,DISTRICT LEVEL,BC Public School,41,Burnaby,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,115,64,56
2010/2011,DISTRICT LEVEL,BC Public School,41,Burnaby,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,115,62,54
2010/2011,DISTRICT LEVEL,BC Public School,41,Burnaby,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,117,73,62
2010/2011,DISTRICT LEVEL,BC Public School,41,Burnaby,,,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Secondary Parents,113,65,58
2010/2011,DISTRICT LEVEL,BC Public School,42,Maple Ridge-Pitt Meadows,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,65,53,82
2010/2011,DISTRICT LEVEL,BC Public School,42,Maple Ridge-Pitt Meadows,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,64,37,58
2010/2011,DISTRICT LEVEL,BC Public School,42,Maple Ridge-Pitt Meadows,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,65,55,85
2010/2011,DISTRICT LEVEL,BC Public School,42,Maple Ridge-Pitt Meadows,,,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Secondary Parents,65,50,77
2010/2011,DISTRICT LEVEL,BC Public School,43,Coquitlam,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,235,168,71
2010/2011,DISTRICT LEVEL,BC Public School,43,Coquitlam,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,229,129,56
2010/2011,DISTRICT LEVEL,BC Public School,43,Coquitlam,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,232,149,64
2010/2011,DISTRICT LEVEL,BC Public School,43,Coquitlam,,,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Secondary Parents,226,132,58
2010/2011,DISTRICT LEVEL,BC Public School,44,North Vancouver,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,252,179,71
2010/2011,DISTRICT LEVEL,BC Public School,44,North Vancouver,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,248,123,50
2010/2011,DISTRICT LEVEL,BC Public School,44,North Vancouver,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,253,173,68
2010/2011,DISTRICT LEVEL,BC Public School,44,North Vancouver,,,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Secondary Parents,248,138,56
2010/2011,DISTRICT LEVEL,BC Public School,45,West Vancouver,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,134,115,86
2010/2011,DISTRICT LEVEL,BC Public School,45,West Vancouver,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,134,91,68
2010/2011,DISTRICT LEVEL,BC Public School,45,West Vancouver,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,129,100,78
2010/2011,DISTRICT LEVEL,BC Public School,45,West Vancouver,,,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Secondary Parents,127,84,66
2010/2011,DISTRICT LEVEL,BC Public School,46,Sunshine Coast,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,42,28,67
2010/2011,DISTRICT LEVEL,BC Public School,46,Sunshine Coast,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,42,19,45
2010/2011,DISTRICT LEVEL,BC Public School,46,Sunshine Coast,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,41,32,78
2010/2011,DISTRICT LEVEL,BC Public School,46,Sunshine Coast,,,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Secondary Parents,40,24,60
2010/2011,DISTRICT LEVEL,BC Public School,47,Powell River,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,14,6,43
2010/2011,DISTRICT LEVEL,BC Public School,47,Powell River,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,14,6,43
2010/2011,DISTRICT LEVEL,BC Public School,47,Powell River,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,14,9,64
2010/2011,DISTRICT LEVEL,BC Public School,47,Powell River,,,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Secondary Parents,14,5,36
2010/2011,DISTRICT LEVEL,BC Public School,48,Sea to Sky,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,47,29,62
2010/2011,DISTRICT LEVEL,BC Public School,48,Sea to Sky,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,48,20,42
2010/2011,DISTRICT LEVEL,BC Public School,48,Sea to Sky,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,47,28,60
2010/2011,DISTRICT LEVEL,BC Public School,48,Sea to Sky,,,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Secondary Parents,48,21,44
2010/2011,DISTRICT LEVEL,BC Public School,49,Central Coast,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,Msk,Msk,Msk
2010/2011,DISTRICT LEVEL,BC Public School,49,Central Coast,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,Msk,Msk,Msk
2010/2011,DISTRICT LEVEL,BC Public School,49,Central Coast,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,Msk,Msk,Msk
2010/2011,DISTRICT LEVEL,BC Public School,49,Central Coast,,,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Secondary Parents,Msk,Msk,Msk
2010/2011,DISTRICT LEVEL,BC Public School,50,Haida Gwaii,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,Msk,Msk,Msk
2010/2011,DISTRICT LEVEL,BC Public School,50,Haida Gwaii,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,Msk,Msk,Msk
2010/2011,DISTRICT LEVEL,BC Public School,50,Haida Gwaii,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,Msk,Msk,Msk
2010/2011,DISTRICT LEVEL,BC Public School,50,Haida Gwaii,,,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Secondary Parents,Msk,Msk,Msk
2010/2011,DISTRICT LEVEL,BC Public School,51,Boundary,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,11,9,82
2010/2011,DISTRICT LEVEL,BC Public School,51,Boundary,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,10,5,50
2010/2011,DISTRICT LEVEL,BC Public School,51,Boundary,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,11,9,82
2010/2011,DISTRICT LEVEL,BC Public School,51,Boundary,,,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Secondary Parents,10,5,50
2010/2011,DISTRICT LEVEL,BC Public School,52,Prince Rupert,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,41,31,76
2010/2011,DISTRICT LEVEL,BC Public School,52,Prince Rupert,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,40,27,68
2010/2011,DISTRICT LEVEL,BC Public School,52,Prince Rupert,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,40,29,73
2010/2011,DISTRICT LEVEL,BC Public School,52,Prince Rupert,,,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Secondary Parents,40,26,65
2010/2011,DISTRICT LEVEL,BC Public School,53,Okanagan Similkameen,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,47,32,68
2010/2011,DISTRICT LEVEL,BC Public School,53,Okanagan Similkameen,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,45,26,58
2010/2011,DISTRICT LEVEL,BC Public School,53,Okanagan Similkameen,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,45,35,78
2010/2011,DISTRICT LEVEL,BC Public School,53,Okanagan Similkameen,,,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Secondary Parents,45,25,56
2010/2011,DISTRICT LEVEL,BC Public School,54,Bulkley Valley,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,55,32,58
2010/2011,DISTRICT LEVEL,BC Public School,54,Bulkley Valley,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,53,29,55
2010/2011,DISTRICT LEVEL,BC Public School,54,Bulkley Valley,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,55,33,60
2010/2011,DISTRICT LEVEL,BC Public School,54,Bulkley Valley,,,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Secondary Parents,52,23,44
2010/2011,DISTRICT LEVEL,BC Public School,57,Prince George,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,100,75,75
2010/2011,DISTRICT LEVEL,BC Public School,57,Prince George,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,100,55,55
2010/2011,DISTRICT LEVEL,BC Public School,57,Prince George,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,98,69,70
2010/2011,DISTRICT LEVEL,BC Public School,57,Prince George,,,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Secondary Parents,100,65,65
2010/2011,DISTRICT LEVEL,BC Public School,58,Nicola-Similkameen,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,Msk,Msk,Msk
2010/2011,DISTRICT LEVEL,BC Public School,58,Nicola-Similkameen,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,Msk,Msk,Msk
2010/2011,DISTRICT LEVEL,BC Public School,58,Nicola-Similkameen,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,Msk,Msk,Msk
2010/2011,DISTRICT LEVEL,BC Public School,58,Nicola-Similkameen,,,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Secondary Parents,Msk,Msk,Msk
2010/2011,DISTRICT LEVEL,BC Public School,59,Peace River South,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,27,17,63
2010/2011,DISTRICT LEVEL,BC Public School,59,Peace River South,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,27,16,59
2010/2011,DISTRICT LEVEL,BC Public School,59,Peace River South,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,26,20,77
2010/2011,DISTRICT LEVEL,BC Public School,59,Peace River South,,,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Secondary Parents,27,19,70
2010/2011,DISTRICT LEVEL,BC Public School,60,Peace River North,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,21,13,62
2010/2011,DISTRICT LEVEL,BC Public School,60,Peace River North,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,20,11,55
2010/2011,DISTRICT LEVEL,BC Public School,60,Peace River North,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,21,14,67
2010/2011,DISTRICT LEVEL,BC Public School,60,Peace River North,,,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Secondary Parents,21,13,62
2010/2011,DISTRICT LEVEL,BC Public School,61,Greater Victoria,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,180,132,73
2010/2011,DISTRICT LEVEL,BC Public School,61,Greater Victoria,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,174,101,58
2010/2011,DISTRICT LEVEL,BC Public School,61,Greater Victoria,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,174,126,72
2010/2011,DISTRICT LEVEL,BC Public School,61,Greater Victoria,,,Achievement,Satisfaction with writing development,Are you satisfied with the development of your child's writing skills at school?,Secondary Parents,170,107,63
2010/2011,DISTRICT LEVEL,BC Public School,62,Sooke,,,Achievement,Satisfaction with learning at school,Are you satisfied with what your child is learning at school?,Secondary Parents,11,6,55
2010/2011,DISTRICT LEVEL,BC Public School,62,Sooke,,,Achievement,Satisfaction with math development,Are you satisfied with the development of your child's mathematics skills at school?,Secondary Parents,12,7,58
2010/2011,DISTRICT LEVEL,BC Public School,62,Sooke,,,Achievement,Satisfaction with reading development,Are you satisfied with the development of your child's reading skills at school?,Secondary Parents,12,10,83
